start_date,end_date,the_group,state,condition_group,the_condition,age_group,covid_deaths,number_of_mentions
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",45-54,11480,11480
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",55-64,22949,22949
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",65-74,30138,30138
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",75-84,22814,22814
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome",85+,12246,12246
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Adult respiratory distress syndrome","All Ages",106648,106648
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",0-24,1049,1098
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",25-34,4055,4131
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",35-44,10875,11070
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",45-54,28229,28740
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",55-64,66066,67862
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",65-74,108175,112137
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",75-84,118914,123711
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure",85+,98964,102097
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure","Not stated",6,6
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory failure","All Ages",436333,450852
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",0-24,83,83
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",25-34,232,232
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",35-44,542,542
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",45-54,1286,1286
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",55-64,3007,3007
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",65-74,4940,4940
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",75-84,6211,6211
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest",85+,7064,7064
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Respiratory arrest","All Ages",23365,23365
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",0-24,400,440
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",25-34,801,862
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",35-44,1864,1999
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",45-54,4352,4696
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",55-64,9597,10373
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",65-74,14918,15914
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",75-84,16527,17439
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system",85+,14246,14749
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Respiratory diseases","Other diseases of the respiratory system","All Ages",62706,66473
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",0-24,105,105
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",25-34,903,914
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",35-44,3656,3685
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",45-54,10676,10766
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",55-64,27207,27442
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",65-74,47240,47640
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",75-84,58062,58757
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases",85+,65854,67335
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases","Not stated",6,6
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Hypertensive diseases","All Ages",213709,216650
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",0-24,33,35
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",25-34,289,307
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",35-44,1106,1202
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",45-54,4131,4447
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",55-64,13281,14423
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",65-74,27901,30146
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",75-84,39452,42368
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease",85+,41979,44742
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease","Not stated",6,8
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Ischemic heart disease","All Ages",128178,137678
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",0-24,481,481
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",25-34,1619,1623
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",35-44,4127,4128
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",45-54,10036,10039
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",55-64,21555,21563
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",65-74,32255,32263
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",75-84,33918,33927
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest",85+,31486,31498
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrest","All Ages",135478,135523
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",0-24,102,107
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",25-34,288,298
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",35-44,776,801
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",45-54,2458,2528
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",55-64,7868,8098
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",65-74,17754,18234
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",75-84,28781,29486
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia",85+,35451,36223
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia","Not stated",0,0
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cardiac arrhythmia","All Ages",93478,95775
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",0-24,79,79
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",25-34,315,315
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",35-44,904,904
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",45-54,2621,2626
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",55-64,7940,7943
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",65-74,17580,17595
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",75-84,28739,28760
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure",85+,39642,39671
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Heart failure","All Ages",97821,97894
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",0-24,115,121
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",25-34,294,315
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",35-44,850,892
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",45-54,2425,2541
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",55-64,6846,7109
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",65-74,13219,13616
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",75-84,17636,18188
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases",85+,20069,20711
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Cerebrovascular diseases","All Ages",61455,63494
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",0-24,482,555
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",25-34,1184,1362
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",35-44,2675,3054
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",45-54,6106,6863
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",55-64,13309,14766
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",65-74,20462,22626
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",75-84,23249,25610
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system",85+,23574,25986
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system","Not stated",1,1
2020-01-01,2023-09-23,"By Total","United States","Circulatory diseases","Other diseases of the circulatory system","All Ages",91042,100823
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,0-24,425,428
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,25-34,1389,1390
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,35-44,3867,3872
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,45-54,9886,9888
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,55-64,22137,22148
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,65-74,32651,32663
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,75-84,29455,29461
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,85+,19188,19191
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,"Not stated",2,2
2020-01-01,2023-09-23,"By Total","United States",Sepsis,Sepsis,"All Ages",119000,119043
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",0-24,175,205
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",25-34,298,358
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",35-44,896,1094
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",45-54,2859,3516
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",55-64,9900,11828
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",65-74,19889,23495
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",75-84,21947,25586
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms",85+,15705,17899
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms","Not stated",0,0
2020-01-01,2023-09-23,"By Total","United States","Malignant neoplasms","Malignant neoplasms","All Ages",71669,83981
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,0-24,289,291
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,25-34,1252,1263
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,35-44,4295,4343
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,45-54,12297,12384
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,55-64,28768,28956
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,65-74,45930,46206
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,75-84,45442,45709
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,85+,30553,30697
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,"Not stated",4,4
2020-01-01,2023-09-23,"By Total","United States",Diabetes,Diabetes,"All Ages",168830,169853
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,0-24,707,708
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,25-34,2865,2875
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,35-44,5910,5936
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,45-54,9878,9896
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,55-64,13715,13742
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,65-74,12516,12547
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,75-84,6208,6224
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,85+,1520,1523
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,"Not stated",2,2
2020-01-01,2023-09-23,"By Total","United States",Obesity,Obesity,"All Ages",53321,53453
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",0-24,0,0
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",25-34,2,2
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",35-44,3,3
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",45-54,36,36
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",55-64,321,321
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",65-74,2425,2426
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",75-84,10476,10493
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease",85+,22114,22180
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease","Not stated",0,0
2020-01-01,2023-09-23,"By Total","United States","Alzheimer disease","Alzheimer disease","All Ages",35377,35461
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",0-24,0,0
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",25-34,2,2
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",35-44,12,12
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",45-54,98,98
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",55-64,1218,1220
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",65-74,7913,7933
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",75-84,28162,28241
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia",85+,55710,55835
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia","Not stated",2,2
2020-01-01,2023-09-23,"By Total","United States","Vascular and unspecified dementia","Vascular and unspecified dementia","All Ages",93117,93343
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",0-24,273,279
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",25-34,1204,1236
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",35-44,3392,3481
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",45-54,9191,9455
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",55-64,20667,21435
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",65-74,32952,34579
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",75-84,33928,35899
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure",85+,28064,29799
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure","Not stated",3,4
2020-01-01,2023-09-23,"By Total","United States","Renal failure","Renal failure","All Ages",129674,136167
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,0-24,4320,4320
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,25-34,12354,12354
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,35-44,30071,30071
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,45-54,71364,71364
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,55-64,159656,159656
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,65-74,256711,256711
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,75-84,300009,300009
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,85+,311734,311734
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,"Not stated",23,23
2020-01-01,2023-09-23,"By Total","United States",COVID-19,COVID-19,"All Ages",1146242,1146242
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",0-24,20,20
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",25-34,103,108
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",35-44,231,238
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",45-54,548,565
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",55-64,1193,1229
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",65-74,1824,1857
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",75-84,1878,1917
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia",85+,1220,1232
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Influenza and pneumonia","All Ages",7017,7166
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",0-24,0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",35-44,14,14
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",45-54,46,46
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",55-64,255,262
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",65-74,515,530
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",75-84,559,583
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases",85+,305,316
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Chronic lower respiratory diseases","All Ages",1699,1756
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",25-34,35,35
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",35-44,65,65
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",45-54,159,159
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",55-64,283,283
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",65-74,360,360
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",75-84,222,222
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome",85+,60,60
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Adult respiratory distress syndrome","All Ages",1191,1191
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",0-24,13,14
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",25-34,93,96
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",35-44,267,269
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",45-54,703,712
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",55-64,1468,1496
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",65-74,2295,2335
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",75-84,2324,2379
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure",85+,1387,1415
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory failure","All Ages",8550,8716
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",25-34,25,25
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",35-44,82,82
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",45-54,166,166
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",55-64,389,389
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",65-74,486,486
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",75-84,430,430
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest",85+,281,281
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Respiratory arrest","All Ages",1868,1868
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",25-34,19,23
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",35-44,27,29
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",45-54,92,99
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",55-64,170,181
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",65-74,244,252
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",75-84,250,257
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system",85+,152,155
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system","Not stated",0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Respiratory diseases","Other diseases of the respiratory system","All Ages",958,1000
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",0-24,0,0
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",25-34,10,10
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",35-44,57,58
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",45-54,143,144
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",55-64,367,372
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",65-74,563,567
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",75-84,589,600
2020-01-01,2023-09-23,"By Total",Alabama,"Circulatory diseases","Hypertensive diseases",85+,580,599
